,date,user_name,user_id,user_location,id_tweet,favorites,retweets,hashtags,text
220,2021-03-31 09:27:23,Miciudadreal_es,22492391,Ciudad Real - España,1377190780692000771,0,0,[],Sanidad y CCAA acuerdan que la vacuna de AstraZeneca se administre a trabajadores esenciales mayores de 65 años https://t.co/49m3D8oYa6
221,2021-03-31 09:23:54,RadioMadrid,246774887,Madrid,1377189905118461954,2,2,[],"Ayuso responde a las críticas sobre la vacunación: ""En Semana Santa seguirá adelante en el Wanda y el Zendal""

https://t.co/YLJjqy4dHN"
222,2021-03-31 09:21:00,NotGip,226611875,Gipuzkoa,1377189172243353609,1,1,"[{'text': 'Coronavirus', 'indices': [10, 22]}]","💉 [Rusia. #Coronavirus] Se espera que la producción a escala industrial de la vacuna ""empiece en abril"" en una de las plantas del Centro Federal para la Protección de la Salud Animal

https://t.co/OUrnT0AiYS"
223,2021-03-31 09:20:27,bizkaiagaur,3020101313,"Bizkaia, País Vasco",1377189036448653315,0,0,[],"Más de 100.000 personas han completado el ciclo de vacunación.  

https://t.co/zKNRoojj24"
224,2021-03-31 09:18:39,gipuzkoagaur,3395219781,"San Sebastián, España",1377188582054449160,0,0,[],"Más de 100.000 personas han completado el ciclo de vacunación. 

https://t.co/annwD7psGO"
225,2021-03-31 09:17:34,Pablolinde,66485971,Madrid,1377188309676523520,19,10,[],Todos los países de nuestro entorno han eliminado el límite de edad para vacunar con AstraZeneca. Algunos están aplicándola solo a mayores. España está sola en su estrategia de inocular este suero a menores de 65 y es muy difícil entender por qué https://t.co/Pe7oe2qUuK
226,2021-03-31 09:11:00,NotGip,226611875,Gipuzkoa,1377186655681974272,0,0,"[{'text': 'Coronavirus', 'indices': [16, 28]}]","💉 [AstraZeneca. #Coronavirus] El cambio ha sido aprobado por la  Agencia Europea de Medicamentos tras una solicitud de la farmacéutica

https://t.co/E236xNCkrU"
227,2021-03-31 09:10:57,MiguelJaraBlog,382156736,Madrid-Spain,1377186644885835785,19,28,[],Alemania para de nuevo la vacunación con AstraZeneca tras nueve muertes por trombos https://t.co/2R9GJSYdbL
228,2021-03-31 09:04:03,SEGREcom,211265924,Lleida,1377184908804714510,1,1,[],La Comisión de Salud Pública acuerda que vacuna de AstraZeneca se administre a trabajadores esenciales mayores de 65 años https://t.co/2Tcgd6z7pO
229,2021-03-31 08:55:49,ppmadrid,18979745,"Comunidad de Madrid, España",1377182837758025737,144,116,[],"‼️ATENCIÓN‼️

Pablo Iglesias cerraría el hospital Isabel Zendal si llegara al gobierno de la Comunidad de Madrid. 

El salvavidas madrileño frente al COVID-19, el lugar de vacunación, la referencia internacional. 

https://t.co/sSH83mkEkI"
230,2021-03-31 08:48:34,tiramillas,21645450,Madrid,1377181011025350665,20,6,[],💉 La vacuna de AstraZeneca cambia de nombre: ¿por qué? https://t.co/TUkNr3jvDo
